ResourceID,geom,SITEID,SITENAME
06cdf806-042b-4940-870b-1fd223f7543e,POINT (-81.411664507999944 26.001307337000071),CR00995,FK1-11
c591d6d0-6e06-40b7-b598-8d9eda101b09,POINT (-81.43673526799995 25.97969828600003),CR00997,FK1-16
077676de-6ccf-4285-a2f4-97853796d378,POINT (-81.371243325999956 26.02422619400005),CR01013,FK3-3
89192734-7e92-4b2c-b242-84582fa64833,POINT (-81.595639225999946 25.991158675000065),CR01089,The Blockhouse
d2eafa40-8677-4283-b4ad-289cb1d02cc8,POINT (-81.594869220999954 25.990108705000068),CR01090,Barron Collier Memorial
7ae2b52e-e485-4a48-9c69-ba94bc6d81d1,POINT (-80.155884454999978 25.666578290000075),DA00153,CAPE FLORIDA LIGHTHOUSE
1d8fb59b-421f-45fe-a3c4-3da7a82f5c18,POINT (-80.242178885999977 25.724888286000066),DA00174,"MUNROE, RALPH M HOUSE (""THE BARNACLE"")"
86653e14-de09-4bb1-9888-72a46547f979,POINT (-80.284924287999957 25.752671389000056),DA00191,CORAL GABLES LIGHTHOUSE
37a72d3e-11ce-486f-a9eb-e3c39b941d4a,POINT (-80.149890735999975 25.925725976000024),DA11371,Blue Marlin Fish House
a1025e65-3a6c-45bc-9f69-b020016a1369,POINT (-80.096886488999985 25.590459433000035),DA11938,Fowey Rocks Light
b7524a54-9b62-490c-9c10-2118aca6d286,POINT (-80.175943355999948 25.524870225000029),DA12624,Boca Chita Lighthouse
104e2f4d-c9af-4db1-9f15-998d320227a0,POINT (-81.42611213899994 30.393873122000059),DU00296,ST JOHN'S LIGHTHOUSE
525a5b7a-d55e-46cb-8f63-8567a52af09f,POINT (-81.426272897999979 30.432595710000044),DU07525,"ATTWATER, KENT HOUSE"
e5cc8fe4-fe54-4bf1-a375-d0d1c726e5c4,POINT (-81.42473927399999 30.427932293000026),DU07526,RIBAULT INN CLUB
282f39f1-5791-4f78-b09e-1a31109ea841,POINT (-81.428052505999972 30.418315656000061),DU21127,Rollins Cabin
938d513b-b987-49c6-926f-eb73cfa81cec,POINT (-81.426702515999978 30.420905674000039),DU21131,Chapelle House
bd89f100-0bcc-4b29-8e7c-ae58601528d8,POINT (-81.427152507999949 30.420745665000027),DU21132,Chapelle Guest House
f0122a38-1822-40f9-8d82-b0ff3263bb5e,POINT (-81.426062564999938 30.428375560000063),DU21134,Caddy Shack
b82198ff-ee0c-46b5-b3a8-bf1e2d667495,POINT (-87.211296150999942 30.40909410900008),ES00032,LAVALLE HOUSE
b3fafd5c-b090-47b9-8588-3b94b9a07d4c,POINT (-87.210557423999944 30.408067340000059),ES00033,L AND N MARINE TERMINAL
67bfe3f7-1f47-4562-8809-97eb39eda49d,POINT (-87.210573303999979 30.408711398000037),ES00035,"WALTON, DOROTHY HOUSE"
